,Unnamed: 0,b'SEEG GLA3',b'SEEG GLA4',b'SEEG GLA5',b'SEEG GLA6',b'SEEG GLA7',b'SEEG GLA8',b'SEEG GLB1',b'SEEG GLB2',b'SEEG GLB3',b'SEEG GLB4',b'SEEG GLB5',b'SEEG GLB6',b'SEEG GLB7',b'SEEG GLB8',b'SEEG GLC1',b'SEEG GLC2',b'SEEG GLC3',b'SEEG GLC4',b'SEEG GLC5',b'SEEG GLC6',b'SEEG GLC7',b'SEEG GLC8',b'SEEG GLD1',b'SEEG GLD2',b'SEEG GLD3',b'SEEG GLD4',b'SEEG GLD5',b'SEEG GLD6',b'SEEG GLD7',b'SEEG GLD8',b'SEEG GLE1',b'SEEG GLE2',b'SEEG GLE3',b'SEEG GLE4',b'SEEG GLE5',b'SEEG GLE6',b'SEEG GLE7',b'SEEG GLE8',b'SEEG GLF1',b'SEEG GLF2',b'SEEG GLF3',b'SEEG GLF4',b'SEEG GLF5',b'SEEG GLF6',b'SEEG GLF7',b'SEEG GLF8',b'SEEG GLG1',b'SEEG GLG2',b'SEEG GLG3',b'SEEG GLG4',b'SEEG GLG5',b'SEEG GLG6',b'SEEG GLG7',b'SEEG GLG8',b'SEEG GLH1',b'SEEG GLH2',b'SEEG GLH3',b'SEEG GLH4',b'SEEG GLH5',b'SEEG GLH6',b'SEEG GLH7',b'SEEG GLH8',b'SEEG ILa1',b'SEEG ILa2',b'SEEG ILa3',b'SEEG ILa4',b'SEEG ILb1',b'SEEG ILb2',b'SEEG ILb3',b'SEEG ILb4',b'SEEG ILc1',b'SEEG ILc2',b'SEEG ILc3',b'SEEG ILc4'
Unnamed: 0,0.0,-0.0038945262891131975,0.0018260033371148038,0.00346507069531504,0.002386481266190809,0.004624700030283298,0.006424875231494296,0.0013422764435927117,0.0005504097620192596,-0.0020315850129116898,-0.0016579400676838328,-0.0015164757381118537,0.0009930670753848187,0.0011764450531784204,-3.146886170990532e-05,0.001782316735025528,0.0007056978367377632,-0.00013521908714841322,-0.004318093714346873,-0.004136325949640462,-0.002568143827949823,-0.0013299292101290542,0.0016074841029784961,0.002630347540600215,-0.0002335443475131439,-0.0018783786110080408,-0.004556344360784796,-0.004553052678734205,-0.004492103555343494,-0.004117369211047824,-0.0001671758378384028,0.0019577502948233865,0.001167164798171876,0.00021538564796770273,-0.004564612903925964,-0.006553447644584743,-0.005692178670410016,-0.004309321902600394,-0.00014660397460555246,0.0033933979034576935,0.0031392257328648862,0.0009828191091347921,-0.0018027620409673776,-0.0038425860034657167,-0.0037935678057415805,-0.0027927346022247677,0.000929614933935465,0.005033411582309385,0.0044815496366959785,0.0026092305121198367,0.0004760368254708651,0.0015592429441324586,0.001038166737537847,0.00017364890585645703,0.003061295594990415,0.00561128066384663,0.003978221210584738,0.00422273600528329,0.003311659746701922,0.002965123096771892,0.0010110925695814555,5.930863839405777e-05,0.0041720697747031936,-0.002722659247206208,0.0007869353236764775,-0.0002559230397455865,0.001925318601141146,-0.0005086776315941895,-0.0013121028053699841,0.002643031251454402,0.0008091332006990025,0.004883566407001704,-0.0047493771000670405,0.0027007025222981307,0.0022694881616749795
b'SEEG GLA3',-0.0038945262891131975,0.0,0.4845672158150415,0.295712013392131,0.28900220811140764,0.1745373894064291,0.17198325824447586,0.19147202360958826,0.2936176815940676,0.568748265658312,0.24607494920125197,0.36259765545449607,0.342238860733538,0.2702045127354433,0.08382234230979561,0.23196534910091923,0.2447440734134744,0.3924861397141949,0.3472327246107639,0.1779387730648484,0.27894050115478636,0.1805896312922131,-0.02376582097005719,0.3051695769295408,0.1714135522717818,0.435668649871398,0.3459198179316584,0.24175305876069944,0.21720882316834617,0.14342662307317688,-0.011836415768315197,0.291713439894725,0.28266597604899385,0.30598068153511104,0.3284736501499102,0.33549240497674926,0.22842793862951835,0.08347836773601697,-0.02322242167262929,0.30393928685122057,0.30824414324185423,0.27781418407742964,0.3171893106057736,0.31450360540762723,-0.043759427311199084,0.11639185284530826,0.026039796115697067,0.2750117836384489,0.30454357172487145,0.23524024201724988,0.2979170907862769,0.19675709581804182,0.2984884962686052,0.18113465424251493,0.0340928350105119,0.2551813199401873,0.26711674328091445,0.26691945765843256,0.29854213779908534,0.2300468281522308,0.16113794669249742,0.07204450536063157,0.012925862563376002,0.35627672770486657,0.3142700054098367,0.2239255760609237,0.23956457610602286,0.25247804650774397,0.10944524930245915,0.38287462284431845,0.43506868646457664,-0.09729794365278854,0.039506539300830576,0.13641569153317626,0.3391779932971338
b'SEEG GLA4',0.0018260033371148038,0.4845672158150415,0.0,0.4468226868503002,0.2730933782009001,0.16830437922519667,0.25472287839268304,0.21490043342571122,0.15381584910962118,0.3730307712498279,0.2061158444192273,0.2667109550258313,0.2704001856993646,0.2093099010539152,0.037545483209922896,0.1730056167879173,0.1403368314396965,0.28134280959260094,0.28341542437234124,0.2321283132830377,0.22275369675890222,0.11297175876819382,-0.10863623519960788,0.24250456120036684,0.13314388045449665,0.2639141083716467,0.18406799897466256,0.21223714023588472,0.14821947045123823,0.0685499660769593,-0.09374218230542228,0.13473110547838305,0.11398255230937604,0.14687182766916496,0.1513019322344454,0.19268179494482499,0.1370393007680914,0.018199206203711998,-0.05216341643669908,0.17973464582889093,0.17275955550131897,0.13973379616082668,0.1964116113195521,0.21537878526729354,0.017259095495869348,0.043617154878189505,-0.020111273746947524,0.23746805586241004,0.22294821704134704,0.16062615120265405,0.22314019955067116,0.18231969884552354,0.2374567689536054,0.09995892784278194,-0.019630055263531083,0.23595541773851783,0.2550713372238366,0.220403268904407,0.2266742468036412,0.1383571435293533,0.07543935885941835,0.05880618651439852,0.002502152505129936,0.2638588551545718,0.21002710995998616,0.279697002560308,0.15625365738760427,0.22181321260644335,0.11621324803085196,0.3910851399397768,0.36035536190696765,0.023890132390403954,0.03816611824407258,0.1399681459246806,0.22831766575731127
b'SEEG GLA5',0.00346507069531504,0.295712013392131,0.4468226868503002,0.0,0.7311368331568451,0.5666224023981796,0.39149478459919645,0.2457526532463028,0.2173307854642938,0.3933469098293537,0.41680167939509283,0.5306180507895881,0.6256617555305983,0.561871831034596,0.41086792651539367,0.3093686090929847,0.2630726555887831,0.27677501781993147,0.3597678614707412,0.31117161800779364,0.42547461682002,0.38570645362158834,0.30158277202915024,0.41845004743594305,0.4040704715339249,0.2280626095033687,0.22203998924716561,0.26099497034929536,0.2047763185789562,0.2061407214782019,0.18093583729257579,0.37802140149658064,0.2932430801984449,0.24172081053580105,0.22751648637589167,0.2092446015149642,0.12627714343315982,0.0761876306434738,0.06680074147152879,0.3741120182741806,0.342393763484924,0.2625292134844417,0.3235028231267695,0.25656049864619557,-0.0019886396513580647,0.03523752341045638,0.003210918678919388,0.42448097497630866,0.4045164241661989,0.34164619817017733,0.37776659304729115,0.3161539057064981,0.13338460602858973,0.022237261295238623,-0.010052871973763297,0.411789722287911,0.41345604592526075,0.38058255246224626,0.34021551857880195,0.16445587651900337,-0.11530205331796115,-0.11190237458824184,-0.07345808296265159,0.27419907296245727,0.09443855208016655,0.11843924769947552,0.2513923492531288,0.2301653928777494,0.15573176081977513,0.3317225964369179,0.40844392432062243,0.034105790299879354,-0.01573586069993408,0.2350502093432264,0.29685959654277705
b'SEEG GLA6',0.002386481266190809,0.28900220811140764,0.2730933782009001,0.7311368331568451,0.0,0.8766686677013192,0.46858921090767197,0.3440086669172235,0.32914435490683963,0.4252995644762676,0.39313433271832454,0.6056371555347426,0.8107239335203886,0.7571339675606142,0.4563370663980343,0.38070956942114964,0.39982367708777766,0.4240836674575497,0.4159279482428378,0.40201988108079884,0.569759390072968,0.5063631630382353,0.36923693003951863,0.40135437912539146,0.5100969727218346,0.33873737279096233,0.3284886657536093,0.3816159273399089,0.3468673914859813,0.32519816057454315,0.28975878584881487,0.4266883518478304,0.41038782620727793,0.37716368450735605,0.36369337109672767,0.33728279668882105,0.24764020264138734,0.16584553168132335,0.1408590626884026,0.3998244601025974,0.40670168575956667,0.4043129215274613,0.4462681962908315,0.3429644461234647,0.01957244877423058,0.042924257820443165,-0.04036254182823599,0.39770049536664265,0.41499848762647173,0.4166737857958758,0.46664163161857036,0.3383589358672876,0.10034658362186998,-0.028979316060306497,-0.12062256636060383,0.3581269648128267,0.3666504931162354,0.3974322805292617,0.35996594027094236,0.11674348905049903,-0.13681355501582593,-0.16452080443665712,-0.14260226529549125,0.4080551964220205,0.11163611374946567,0.08870584726729479,0.20412213889835615,0.14735112147176868,0.08602539107581036,0.2228255058337132,0.34668730723628577,0.19224690332133454,0.1041790564635646,0.25373073837061066,0.21979961452371202
b'SEEG GLA7',0.004624700030283298,0.1745373894064291,0.16830437922519667,0.5666224023981796,0.8766686677013192,0.0,0.5244196461428394,0.33849907801637896,0.2995393350220312,0.3287847973152047,0.25991477059212076,0.4619903395611521,0.6731111032962173,0.6588514321401289,0.4164255698591485,0.34945471510205695,0.3638047025477085,0.3643704830394017,0.3031285522000061,0.3206404873051406,0.4405988759644459,0.3840289427941573,0.3085023818007745,0.35474755262030566,0.44808322649955473,0.2710485823345144,0.23954108824075585,0.2855810345914441,0.21220279907107178,0.19950971540535944,0.2241585777543189,0.4250855619283495,0.41788877336660984,0.37481315503303214,0.31001446461540916,0.23093920586530137,0.13054058501582816,0.07963101007494763,0.08545709768345865,0.3935781104994776,0.3952234783792357,0.4217744281998663,0.41963680205557746,0.2641156574889713,-0.020864101277002896,-0.06867464165214537,-0.11224414570130482,0.36712448299534506,0.36778924433689963,0.4035732896664246,0.4252625710433607,0.3142026381237654,0.016567008354628442,-0.12959336682347775,-0.20485219023573273,0.3301601549757067,0.3350999537004847,0.38626853673572836,0.36739590218523244,0.16784346594216684,-0.1394499844117174,-0.21587728633962405,-0.18390716678191865,0.3131634194344485,0.14343210180332086,0.03753244782617183,0.09860156504609256,0.12269964926246758,0.05998262402360723,0.18289236044349458,0.26733204182133136,0.22392324901884855,0.08448431288572576,0.17326434403100724,0.1263561962421893
b'SEEG GLA8',0.006424875231494296,0.17198325824447586,0.25472287839268304,0.39149478459919645,0.46858921090767197,0.5244196461428394,0.0,0.26947862846099824,0.19917886900193743,0.22470214755999865,0.22248450429971542,0.314359781522872,0.39008854078298427,0.4904150727413853,0.5106622923738533,0.2775149614038209,0.28489910420496445,0.12075756177630506,0.15227941001358042,0.08657156362498808,0.28175198230261606,0.38011280881400744,0.3525875032719512,0.16766089278228444,0.20747404561709287,0.07775114749080085,0.038208754458160264,0.12141249546118207,0.2020630416140174,0.20579525487329528,0.22779704823835845,0.2577030987425114,0.2713560963454792,0.181597918406269,0.056541377177965584,0.08546880334631778,0.19155109703188328,0.1728268387863953,0.08453358456171331,0.2773678722889792,0.2657217118229018,0.20863990689018216,0.1573960459012879,0.12071754901524595,0.15296523283613123,0.06159126125293896,-0.06442908109339188,0.2754466666100143,0.22286672385030082,0.19762036881096134,0.24919176932750484,0.2791289661474901,0.11199873823275731,-0.06834253821249785,-0.09343403807017651,0.2263238004623207,0.180855470344838,0.23895932251729804,0.28394837752196367,0.21322750947500801,-0.008956836042032623,-0.09169786704179148,-0.030428053512979926,0.21243393985985154,0.20539030735106611,0.20453561022595687,0.04550605795732666,0.15396756848092866,0.1288154893504784,0.19570292793336713,0.30461208328079953,0.1493075950826054,0.22405211634683894,0.1540418856267579,0.18037307207922015
b'SEEG GLB1',0.0013422764435927117,0.19147202360958826,0.21490043342571122,0.2457526532463028,0.3440086669172235,0.33849907801637896,0.26947862846099824,0.0,0.5842383962590526,0.452845971432247,0.25831974678537717,0.35639802016241723,0.3296489429605988,0.26749029557935716,0.13399041371831813,0.7397536581372636,0.5995070541696044,0.3343380518989617,0.19445212564220216,0.21623275141164816,0.1972440377641335,0.1134525719835443,0.019758114084417033,0.4074691625335957,0.44553855231600503,0.26423422577255234,0.09001426804399881,0.1047703300229065,-0.001863033243106326,-0.050940156164521654,-0.06804210446369453,0.5208694477132582,0.4877219013215676,0.4146702008175596,0.21764453923284174,0.07528270333205876,-0.03620999920528028,-0.09941351561610878,-0.15711407380362435,0.5161938151121601,0.47870675947719693,0.47421554553984335,0.38263110119291205,0.23542355307764817,0.02389788980318068,-0.18767535502342084,-0.23078542084741172,0.4880726850699489,0.45702378887851297,0.45929878498070187,0.47034339975765455,0.3452731812939595,-0.06309568288184565,-0.18880879965283612,-0.16482490464772698,0.428805244127695,0.4174160646818138,0.42256517628774165,0.40236596140029235,0.09927987048144808,-0.1314539833253636,-0.11937415220449936,-0.055536594938124864,0.2748091077583972,0.18005935093227346,0.19446028715577,0.04067219321410615,0.21822723660904475,0.16266613003423236,0.17508035268553906,0.3687248955391213,0.1744668806925365,-0.05415014073703763,0.029700020229105645,0.22843983483237473
b'SEEG GLB2',0.0005504097620192596,0.2936176815940676,0.15381584910962118,0.2173307854642938,0.32914435490683963,0.2995393350220312,0.19917886900193743,0.5842383962590526,0.0,0.6897615618618526,0.4283271636341785,0.3506968888293728,0.30590551226000096,0.27042677001213045,0.17348210991272917,0.5052156618175302,0.7149674565094294,0.5962675997719036,0.4140151180027916,0.22552378908956028,0.21730269133694313,0.16982966432846916,0.0858074784601237,0.38775834325149683,0.519411418720364,0.45906146928570996,0.24553433615340498,0.20702215857007392,0.164842560005619,0.10005985291360338,0.05553106309887522,0.4506026891555806,0.4420215064937434,0.4352003721775129,0.26936488200381786,0.19236595642909374,0.11154510700595514,0.03862734957329512,-0.026046562247587602,0.39446315958281686,0.3756716315235143,0.37834101912825274,0.3227506694500252,0.21711612266668995,-0.010854356261756888,-0.02484731692089963,-0.052984709990034635,0.36258687120017447,0.36572060686505775,0.36146389296116876,0.32555650570121847,0.2399553360337497,0.06944037828401735,0.04088995492951449,-0.009804282109708375,0.30533471598031586,0.3085897776358089,0.3040036791987077,0.2619158738777031,0.11276878086573756,0.05208917787991162,0.04507157303673342,-0.012878610871217253,0.29698519784595595,0.22534949265749354,0.029645739961193542,0.05493824800398741,0.18170205856786203,0.179460098846959,0.14009246843586082,0.33656514855737896,0.10913963842008782,-0.1872532363750043,-0.05557222482985074,0.27237625346620326
b'SEEG GLB3',-0.0020315850129116898,0.568748265658312,0.3730307712498279,0.3933469098293537,0.4252995644762676,0.3287847973152047,0.22470214755999865,0.452845971432247,0.6897615618618526,0.0,0.7382497386437978,0.6335058320393464,0.5011935144694032,0.4180469857117825,0.23454062100946604,0.4641577748467436,0.5830998426099667,0.6767208801260306,0.6941966912956139,0.43291798078971633,0.4546498250432546,0.32586116028180323,0.0845301861977232,0.5143024215731729,0.5277469643374932,0.6028493068285107,0.45171650161186677,0.4096664232509987,0.3288239093282896,0.24145695493955058,0.11288184125195101,0.5362625206663597,0.5234828161863888,0.5577006301442256,0.4777388275265866,0.41299302722258435,0.2582427343470324,0.15025292343126975,0.04645948728714137,0.501874101318806,0.5233880187614623,0.5477443707449643,0.5425170672150266,0.438609279747268,0.022492126362206693,0.08516276198615316,-0.01323942382340992,0.5032249945834899,0.5708722839274899,0.5212697118084616,0.5058345959009408,0.3943489754380017,0.29377877794697144,0.11531314008662458,0.008188478077515717,0.45469012198049064,0.49215373170324556,0.4745251722690686,0.4256831699950894,0.26174066753443975,0.15136702875818744,0.05442692640831169,0.06473831575626962,0.31064126885938487,0.30881827952472113,0.14910816018378908,0.10972539843749209,0.287836964924169,0.2580504716883919,0.3520586329790548,0.4314510702624459,0.07059214516242927,-0.06216332805652502,0.1156908182070074,0.4681090567380551
